url,tipo,objetivo,preco,area_util,area_total,Quartos,Banheiros,Suites,Garagens,Cidade,Bairro,Piscina,Copa,Cozinha,Sala de estar,Sala de jantar,Sala de visitas
https://www.imobiliariatradicao.com.br/Imovel/10903,Casa,Venda,265000.0,114.72,125.0,2.0,1.0,1.0,2.0,Araras,Parque das Árvores,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10912,Casa,Venda,240000.0,71.0,380.0,1.0,,,2.0,Araras,Cândida,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10920,Apartamento,Venda,298000.0,70.0,,2.0,1.0,,2.0,Araras,Fátima,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10919,Casa,Venda,530000.0,183.39,252.0,3.0,1.0,1.0,2.0,Araras,São João,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10917,Casa,Venda,550000.0,230.0,285.0,3.0,2.0,1.0,2.0,Araras,Itapuã,Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10916,Apartamento,Venda,209000.0,45.0,209.0,2.0,1.0,,1.0,Araras,Abolição,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10904,Apartamento,Venda,210000.0,49.0,,2.0,1.0,,1.0,Araras,Terras de Carolina,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10890,Casa,Venda,160000.0,70.0,250.0,2.0,1.0,,2.0,Araras,Nações II,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10891,Apartamento,Venda,240000.0,49.0,,2.0,1.0,,1.0,Araras,São João,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10894,Casa,Venda,1500000.0,170.0,334.0,3.0,1.0,1.0,2.0,Araras,Samantha III,Sim,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10883,Casa,Venda,320000.0,72.0,250.0,1.0,1.0,,4.0,Araras,Esmeraldas,Sim,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10884,Casa,Venda,490000.0,120.0,250.0,3.0,1.0,1.0,2.0,Araras,São Pedro,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10899,Apartamento,Venda,190000.0,42.0,,2.0,1.0,,1.0,Araras,Abolição,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10882,Casa,Venda,255000.0,108.64,125.0,3.0,1.0,,2.0,Araras,São Nicolau,Não,Não,Sim,Não,Não,Sim
